grammar,size,completeness_gain,c_resp,c_base,k_size
balanced,50,0.7500,0.6000,0.2000,5.0000
balanced,100,1.0000,0.6000,0.0000,5.0000
balanced,200,0.7500,0.6000,0.2000,5.0000
balanced,300,0.7500,0.6000,0.2000,5.0000
balanced,500,0.7500,0.6000,0.2000,5.0000
high_constraint,50,1.0000,1.0000,0.0000,2.0000
high_constraint,100,0.6667,1.0000,0.5000,2.0000
high_constraint,200,1.0000,1.0000,0.0000,2.0000
high_constraint,300,0.6667,1.0000,0.5000,2.0000
high_constraint,500,0.6667,1.0000,0.5000,2.0000
loose,50,0.7500,0.6000,0.2000,5.0000
loose,100,0.7500,0.6000,0.2000,5.0000
loose,200,1.0000,0.6000,0.0000,5.0000
loose,300,1.0000,0.6000,0.0000,5.0000
loose,500,1.0000,0.6000,0.0000,5.0000
