ShotType,ShotCategory,Frequency,PlayerPosition,ShotDirection,ShotPace,ImpactFrontWall,BallLanding,DriveType,CrossType,BoastType,SkillType,ShotContact,Deception,Description,Keywords
forehand counter drop,Drop,Core/High_Frequency,FrontCourt,Straight,Soft,Low,FrontCourt,N/A,N/A,N/A,Forehand,OffBounce,Traditional,"A softly hit forehand shot played by a player positioned near the front wall that lands very low down on the front wall (just above the tin) and also bounces very close to the front wall, travelling in a straight line parallel to the side wall from where it was hit. The aim of the straight drop shot is to move the opponent to the front corners of the squash court.","Forehand Straight Drop, FH Straight DropShot, FH Straight Drop, Forehand Straight DropShot, Forehand Straight Drop, FH Counter Straight Drop, Forehand Counter Straight Drop, FH Counter Drop"
forehand straight drop,Drop,Situational/Moderate_Frequency,MidCourt,Straight,Soft,Low,FrontCourt,N/A,N/A,N/A,Forehand,OffBounce,Traditional,"A softly hit forehand shot played by a player positioned around the 'T' area or slightly forward of it that lands very low down on the front wall (just above the tin) and also bounces very close to the front wall, travelling in a straight line parallel to the side wall from where it was hit. The aim of the straight drop shot is to move the opponent to the front corners of the squash court.","FH Straight DropShot, FH Straight Drop, Forehand Straight DropShot, Forehand Straight Drop"
forehand straight drop,Drop,Tactical/Lower_Frequency,BackCourt,Straight,Soft,Low,FrontCourt,N/A,N/A,N/A,Forehand,OffBounce,Traditional,"A softly hit forehand shot played by a player positioned deep in the back half of the court that lands very low down on the front wall (just above the tin) and also bounces very close to the front wall, travelling in a straight line parallel to the side wall from where it was hit. The aim of the straight drop shot is to move the opponent to the front corners of the squash court.","FH Straight DropShot, FH Straight Drop, Forehand Straight DropShot, Forehand Straight Drop"
forehand cross drop,Drop,Rare/Desperation,Front,Cross,Soft,Low,FrontCourt,N/A,N/A,N/A,Forehand,OffBounce,Traditional,"A softly hit forehand shot played by a player positioned near the front wall that lands very low down on the front wall (just above the tin) and also bounces very close to the front wall, travelling in a diagonal direction across the court to the opposite front corner from where it was hit. The aim of the cross drop shot is to move the opponent to the front corners of the squash court.","FH Cross DropShot, FH Cross Drop, Forehand Cross DropShot, Forehand Cross Drop"
forehand cross drop,Drop,Tactical/Lower_Frequency,MidCourt,Cross,Soft,Low,FrontCourt,N/A,N/A,N/A,Forehand,OffBounce,Traditional,"A softly hit forehand shot played by a player positioned around the 'T' area or slightly forward of it that lands very low down on the front wall (just above the tin) and also bounces very close to the front wall, travelling in a diagonal direction across the court to the opposite front corner from where it was hit. The aim of the cross drop shot is to move the opponent to the front corners of the squash court.","FH Cross DropShot, FH Cross Drop, Forehand Cross DropShot, Forehand Cross Drop"
forehand cross drop,Drop,Rare/Desperation,BackCourt,Cross,Soft,Low,FrontCourt,N/A,N/A,N/A,Forehand,OffBounce,Traditional,"A softly hit forehand shot played by a player positioned deep in the back half of the court that lands very low down on the front wall (just above the tin) and also bounces very close to the front wall, travelling in a diagonal direction across the court to the opposite front corner from where it was hit. The aim of the cross drop shot is to move the opponent to the front corners of the squash court.","FH Cross DropShot, FH Cross Drop, Forehand Cross DropShot, Forehand Cross Drop"
backhand counter drop,Drop,Core/High_Frequency,FrontCourt,Straight,Soft,Low,FrontCourt,N/A,N/A,N/A,Backhand,OffBounce,Traditional,"A softly hit backhand shot played by a player positioned near the front wall that lands very low down on the front wall (just above the tin) and also bounces very close to the front wall, travelling in a straight line parallel to the side wall from where it was hit. The aim of the straight drop shot is to move the opponent to the front corners of the squash court.","Backhand Straight DropBH Straight DropShot, BH Straight Drop, Backhand Straight DropShot, Backhand Straight Drop, BH Counter Straight Drop, Backhand Counter Straight Drop, BH Drop"
backhand straight drop,Drop,Situational/Moderate_Frequency,MidCourt,Straight,Soft,Low,FrontCourt,N/A,N/A,N/A,Backhand,OffBounce,Traditional,"A softly hit backhand shot played by a player positioned around the 'T' area or slightly forward of it that lands very low down on the front wall (just above the tin) and also bounces very close to the front wall, travelling in a straight line parallel to the side wall from where it was hit. The aim of the straight drop shot is to move the opponent to the front corners of the squash court.","BH Straight DropShot, BH Straight Drop, Backhand Straight DropShot, Backhand Straight Drop"
backhand straight drop,Drop,Tactical/Lower_Frequency,BackCourt,Straight,Soft,Low,FrontCourt,N/A,N/A,N/A,Backhand,OffBounce,Traditional,"A softly hit backhand shot played by a player positioned deep in the back half of the court that lands very low down on the front wall (just above the tin) and also bounces very close to the front wall, travelling in a straight line parallel to the side wall from where it was hit. The aim of the straight drop shot is to move the opponent to the front corners of the squash court.","BH Straight DropShot, BH Straight Drop, Backhand Straight DropShot, Backhand Straight Drop"
backhand cross drop,Drop,Rare/Desperation,FrontCourt,Cross,Soft,Low,FrontCourt,N/A,N/A,N/A,Backhand,OffBounce,Traditional,"A softly hit backhand shot played by a player positioned near the front wall that lands very low down on the front wall (just above the tin) and also bounces very close to the front wall, travelling in a diagonal direction across the court to the opposite front corner from where it was hit. The aim of the cross drop shot is to move the opponent to the front corners of the squash court.","BH Cross DropShot, BH Cross Drop, Backhand Cross DropShot, Backhand Cross Drop"
