size,grammar,overall_impact,diversity_score,structure_score,reliability_score
50,Low-Constraint,0.9166664189983915,0.9006807533783315,0.9375,0.922235294117647
50,Balanced-Constraint,0.9232023103557039,0.9100057758892595,1.0,0.898
50,High-Constraint,0.9347361920668751,0.8788404801671879,1.0,0.958
100,Low-Constraint,0.9113151160703676,0.9032696815240078,0.9285714285714286,0.9107323943661972
100,Balanced-Constraint,0.9284724436482099,0.9111811091205246,1.0,0.91
100,High-Constraint,0.9398889611180601,0.8857224027951504,1.0,0.964
200,Low-Constraint,0.927491559419774,0.9047680707593388,0.983739837398374,0.9220909090909091
200,Balanced-Constraint,0.9202323488214996,0.9117941130312152,0.9752066115702479,0.90118345323741
200,High-Constraint,0.9351746213503909,0.881436553375977,1.0,0.9565
300,Low-Constraint,0.9101646819941209,0.9092223931394192,0.9234972677595629,0.9044406779661016
300,Balanced-Constraint,0.9361647565033147,0.9133152564944707,0.9902439024390244,0.9319746835443039
300,High-Constraint,0.9357535456938371,0.8813838642345928,1.0,0.958
500,Low-Constraint,0.911669613504152,0.908537190285079,0.9390681003584229,0.9011027932960893
500,Balanced-Constraint,0.9368502739914637,0.9121073274027912,0.99079754601227,0.9346195845697329
500,High-Constraint,0.9363809584716856,0.8805523961792138,1.0,0.9603999999999999
