query_type,source_file,max_score_mean,max_score_std,max_score_min,max_score_max,min_score_mean,min_score_std,min_score_min,min_score_max,mean_score_mean,mean_score_std,mean_score_min,mean_score_max,std_dev_mean,std_dev_std,std_dev_min,std_dev_max,q25_mean,q25_std,q25_min,q25_max,median_mean,median_std,median_min,median_max,q75_mean,q75_std,q75_min,q75_max,top_1_delta_mean,top_1_delta_std,top_1_delta_min,top_1_delta_max
Complexity Type 1 (Relevant),field_retriever_metrics_more_queries_10.csv,10.785714285714286,2.6849923041732144,8.0,13.357142857142858,3.785714285714286,1.3608970630898323,3.0,5.357142857142858,6.037142857142857,1.6237730061527096,4.75,7.861428571428573,2.4779733744158925,0.3738089860057783,2.0463381929681126,2.6949995267123135,3.9523809523809526,1.438507115411125,3.0,5.607142857142858,4.785714285714286,1.3608970630898327,4.0,6.357142857142858,7.379761904761904,1.849125321816321,5.75,9.389285714285714,2.3333333333333335,0.5773502691896258,2.0,3.0
Complexity Type 2 (Relevant),field_retriever_metrics_more_queries_10.csv,12.433035714285714,3.290970659646338,8.0,15.503571428571428,2.625892857142857,1.1562730968459813,1.275,4.0,9.353660714285713,1.4846023877034655,7.285714285714286,10.798214285714286,3.5487384361482706,1.4885163287571497,1.749635530559413,4.924685385682945,7.5580357142857135,0.6014464919284687,6.728571428571428,8.003571428571428,10.926785714285714,2.1153502387673444,8.0,12.978571428571428,12.162723214285714,2.997228238316824,8.0,14.672321428571427,0.0,0.0,0.0,0.0
Out-of-Scope (Informational),field_retriever_metrics_more_queries_10.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Out-of-Scope (Other Sport),field_retriever_metrics_more_queries_10.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Relevant (Other Duration),field_retriever_metrics_more_queries_10.csv,9.916666666666666,2.309401076758503,7.25,11.25,4.228571428571428,1.732050807568877,2.228571428571428,5.228571428571428,6.464047619047618,0.6350852961085882,5.730714285714285,6.830714285714285,1.953640797263085,0.5119227200185945,1.362523356849043,2.249199517470106,5.228571428571428,0.0,5.228571428571428,5.228571428571428,6.228571428571428,0.0,6.228571428571428,6.228571428571428,6.228571428571428,0.0,6.228571428571428,6.228571428571428,0.0214285714285722,0.0,0.0214285714285722,0.0214285714285722
Relevant (Outside Corpus),field_retriever_metrics_more_queries_10.csv,3.44,2.7033312782565146,0.0,6.2,1.4142857142857141,0.9860636027008748,0.0,2.357142857142857,1.8168571428571425,1.0196653862910126,0.0,2.361428571428571,0.8068594338629318,1.0931134718687472,0.0,2.0042914418001865,1.4142857142857141,0.9860636027008748,0.0,2.357142857142857,1.4142857142857141,0.9860636027008748,0.0,2.357142857142857,1.4142857142857141,0.9860636027008748,0.0,2.357142857142857,0.0257142857142856,0.017928429140015845,0.0,0.0428571428571427
Relevant (Single Shotside),field_retriever_metrics_more_queries_10.csv,9.275,0.0,9.275,9.275,1.275,0.0,1.275,1.275,3.9853125,0.4344287286914843,3.678125000000001,4.2924999999999995,2.7886304044447248,0.8220587230775571,2.20734710682303,3.3699137020664196,2.296875,1.4451494840500065,1.275,3.31875,2.8312500000000003,2.0417708306761564,1.3875,4.275,5.0125,0.7247844507162114,4.5,5.525,1.5,2.1213203435596424,0.0,3.0
Vague But Relevant,field_retriever_metrics_more_queries_10.csv,2.3,2.539685019840059,0.0,5.0,2.255,2.5593211990682216,0.0,5.0,2.2649999999999997,2.5546281529803903,0.0,5.0,0.0187082869338697,0.04183300132670376,0.0,0.0935414346693485,2.255,2.5593211990682216,0.0,5.0,2.255,2.5593211990682216,0.0,5.0,2.255,2.5593211990682216,0.0,5.0,0.0,0.0,0.0,0.0
Complexity Type 1 (Relevant),meta_sparse_metrics_more_queries_10.csv,1.9773231447548658,0.9051959633028136,1.4547080116726236,3.02255341091935,-1.0886075660712413,0.9427618069696418,-1.632911349106862,0.0,-0.2690720388430822,0.9033138926870489,-0.7906005579486786,0.7739849993681106,1.0442822768664637,0.0011639528370796179,1.0436102683826518,1.0456262938340877,-1.0715310822010047,0.9279731381307015,-1.607296623301507,0.0,-0.6766130726788968,0.8912107541622457,-1.1911538414991587,0.3524684649616271,-0.18037520136469468,0.8400611234531249,-0.6653847171260958,0.7896438301581076,0.6008002713733794,0.0413044771457426,0.553105969375717,0.6246474223722106
Complexity Type 2 (Relevant),meta_sparse_metrics_more_queries_10.csv,-1.2201956873305897,1.271705834923963,-2.7647015066959115,0.3120853821706927,-2.4111635061286076,1.5809607937341312,-4.338538315179813,-0.4982293968141026,-1.8311063862162114,1.586832680446877,-3.8833522280586097,-0.0486479453273982,0.35548574621203416,0.05139343087630624,0.2906171636049262,0.4156939997678703,-2.07772884457315,1.584358821767873,-4.126980423040492,-0.3054720170818545,-1.794974298482941,1.6569431453024341,-3.9935277743230464,0.0,-1.6498271116555814,1.6700622720886136,-3.81894910908623,0.2042509758778266,0.27463849978742716,0.4303970419905208,0.0241303937986451,0.9160121264558015
Out-of-Scope (Informational),meta_sparse_metrics_more_queries_10.csv,-1.2844590217275893,0.5717273428823443,-1.9446328923599712,-0.9543720864113984,-1.3105578835124037,0.5708214656107602,-1.969685737171582,-0.9809939566828146,-1.2989807111212643,0.5701921734182975,-1.957381920747008,-0.9697801063083924,0.0076123613149778,0.0007475630345985734,0.0071807555957161,0.0084755727535012,-1.3036815088763472,0.5709298201778849,-1.96293447961252,-0.9740550235082608,-1.3010872398555673,0.5704877970039515,-1.9598298061948232,-0.9717159566859392,-1.2939653597348546,0.5675510930437861,-1.9493169124302472,-0.9662895833871584,0.005385649584307967,0.004228668515391944,0.0005028037729575,0.0078270724899832
Out-of-Scope (Other Sport),meta_sparse_metrics_more_queries_10.csv,-0.44098783622013066,0.4307828192704667,-0.8607833689950728,0.0,-0.6188062927389801,0.5359791604116,-0.9373055616616984,0.0,-0.5744641450522484,0.5002909923320958,-0.914462556713044,0.0,0.05123041016495917,0.07064749768574638,0.0,0.131824272333667,-0.6074173053582209,0.5263980969865971,-0.930571249874412,0.0,-0.590382739690908,0.5124786576406102,-0.9205103377731788,0.0,-0.5760702276158273,0.5006705121043276,-0.9062750145526168,0.0,0.08522108216920933,0.11792220528083878,0.0,0.2198026614328404
Relevant (Other Duration),meta_sparse_metrics_more_queries_10.csv,-1.6570535968854962,0.7216714535466211,-2.0780982065211857,-0.8237546351619511,-2.9092646166528513,0.43345618026722077,-3.270521145648123,-2.428628768241799,-2.370096630846412,0.5774439704734301,-2.725732997758233,-1.703828224815632,0.4756520499422381,0.13980839166031636,0.3905842705364999,0.6370093003906985,-2.8004739641726766,0.3606677009299786,-3.009914315307685,-2.3840131191674976,-2.443375288935455,0.7093725681464816,-2.9454769771929152,-1.631851553914141,-1.9327613728676933,0.72477053037148,-2.4081484624240748,-1.0985800595583357,0.0693438964240329,0.10018842756374022,0.0070098849180215,0.1849121715683881
Relevant (Outside Corpus),meta_sparse_metrics_more_queries_10.csv,0.10977670813658902,0.3955579064579717,-0.1294740069929177,0.8078315546687805,-0.37429924257744707,0.5125303460419147,-0.9357481064436176,0.0,-0.2309140742121302,0.428728413640536,-0.6896776425912317,0.2247849141218123,0.20401362267993575,0.18625549274498904,0.0,0.344178571597149,-0.3682946102045682,0.5043081645415359,-0.9207365255114206,0.0,-0.36004441708411006,0.4930111223519137,-0.9001110427102751,0.0,-0.04316641768156213,0.36992427193824323,-0.3722673929251257,0.5287026974424407,0.03737937720425446,0.03471763691170373,0.0,0.0727508980426919
Relevant (Single Shotside),meta_sparse_metrics_more_queries_10.csv,0.6513320740497195,2.1989751007495935,-0.9035781313506898,2.206242279450129,-1.3805393189215263,0.6499394686905418,-1.84011592459339,-0.9209627132496624,-0.9116890951937551,0.9710091815444617,-1.5982962720582434,-0.2250819183292668,0.7285230932139792,0.5414551477270454,0.3456564865478216,1.111389699880137,-1.3306078624713211,0.6529359716406308,-1.7923033156990384,-0.8689124092436038,-1.3057245396139456,0.6428903588317932,-1.7603166719033596,-0.8511324073245319,-0.9496329898063934,1.0471602020464503,-1.6900870696621135,-0.2091789099506733,0.29330012149559026,0.3902034981670274,0.0173845818989726,0.5692156610922079
Vague But Relevant,meta_sparse_metrics_more_queries_10.csv,0.2692641871339074,1.7461017252742999,-1.8151554554064713,3.02255341091935,-0.8785556281477704,0.6990692559023878,-1.9182995183445128,0.0,-0.5302869658044116,0.9567157599629683,-1.884242663021436,0.7739849993681106,0.43143948321416936,0.37263009245414797,0.0288236257706886,1.0456262938340877,-0.840933776982461,0.7058309625183266,-1.9046262733826729,0.0,-0.7567606467103996,0.8151304999016299,-1.892226294459118,0.3524684649616271,-0.3063205824650857,0.9830763643530841,-1.8699947670036672,0.7896438301581076,0.15142611220959998,0.22504559935347196,0.028105477791374,0.553105969375717
