grammar,size,faithfulness_mean,faithfulness_std,answer_relevancy_mean,answer_relevancy_std,n_items
balanced,50,0.671160704054348,0.20432226745713283,0.8814255098667845,0.04002431795903345,12
balanced,100,0.7481807677796641,0.22419179797251834,0.9048480598820374,0.03306626921548375,8
balanced,200,0.7187876891032491,0.18447396965979368,0.896909167792381,0.059910012135034725,12
balanced,300,0.7017055540458111,0.1989822224511165,0.8961846659169983,0.03806230939494038,12
balanced,500,0.6967864671963998,0.20401743283953172,0.8994052185580831,0.03354936231061663,12
high_constraint,50,0.724237450484444,0.25732466759085526,0.8902426643179945,0.04532670722199914,12
high_constraint,100,0.6993966988067554,0.17326077294659448,0.8834650778602312,0.045580777677721084,12
high_constraint,200,0.8129820956121622,0.19693715252336277,0.8895248831882442,0.055063777244641655,12
high_constraint,300,0.755546469899162,0.19913866953552484,0.8735045725248137,0.053204024915027306,12
high_constraint,500,0.7776958354235486,0.2293554254521774,0.8895718475974405,0.031665225897531235,12
loose,50,0.7588434509464707,0.23153796679370608,0.8945881110199735,0.037357396657966814,12
loose,100,0.694956903829942,0.20871407734008024,0.8970925763834967,0.05834518403950696,12
loose,200,0.750273641372973,0.18226343819477156,0.9052993740934309,0.03612103222292691,12
loose,300,0.7219416467531256,0.18015612434359518,0.9076629070671737,0.03673785816081045,12
loose,500,0.7160852593991539,0.20010431751696586,0.8888387220162234,0.06203077721907918,12
